r_hip,l_hip,r_knee,l_knee,r_foot,l_foot
176.21624326777686,155.4318293649621,57.25,159.22,"[0.602958083152771, 0.5805407762527466]","[0.6831771731376648, 0.6435835361480713]"
161.88101978780742,160.8620976596827,51.03,161.35,"[0.6326473951339722, 0.5848589539527893]","[0.6848186254501343, 0.6494648456573486]"
153.54439197560703,166.9248551344918,59.49,163.95,"[0.6633362174034119, 0.5962256193161011]","[0.6847225427627563, 0.6506325602531433]"
140.67223991570805,170.32173659664667,67.01,159.07,"[0.6979230642318726, 0.6086552143096924]","[0.6838722229003906, 0.650115430355072]"
134.51185712146074,178.68137839511002,110.22,163.67,"[0.7373469471931458, 0.621627926826477]","[0.6852957010269165, 0.6486539244651794]"
134.17459867369584,170.65053016280802,130.09,160.45,"[0.7744853496551514, 0.6253294944763184]","[0.6876793503761292, 0.6389720439910889]"
139.14100940833944,166.61538004278444,148.72,145.49,"[0.8065047264099121, 0.6239210367202759]","[0.6928849816322327, 0.6183763146400452]"
146.3379192637427,167.59770444230503,165.16,113.61,"[0.8306705951690674, 0.6215533018112183]","[0.703066349029541, 0.5927695035934448]"
146.38454306025358,170.42475830865087,163.69,83.03,"[0.8462983965873718, 0.6228692531585693]","[0.7211343050003052, 0.5723004341125488]"
152.7510317293634,175.06696654133455,166.44,58.69,"[0.8541440367698669, 0.6359233260154724]","[0.7461882829666138, 0.5587654113769531]"
152.72519232433544,178.985484127188,158.05,42.37,"[0.8563719987869263, 0.6485702395439148]","[0.7752172350883484, 0.5612707138061523]"
156.7084035872379,169.0829376309278,154.62,57.19,"[0.8572062253952026, 0.6508049964904785]","[0.8040685057640076, 0.5751612186431885]"
158.48757721930198,154.84731266822553,149.63,70.85,"[0.8539143800735474, 0.6488244533538818]","[0.8363772630691528, 0.583476722240448]"
168.37874829637303,142.28503409173572,158.61,104.26,"[0.8531821370124817, 0.6452276706695557]","[0.8729375004768372, 0.6093398332595825]"
167.9113425708235,140.93948882565815,143.9,118.83,"[0.8585246205329895, 0.6484935283660889]","[0.9074079990386963, 0.6178944110870361]"
177.40924264409662,146.7844986554509,152.67,140.29,"[0.8639270663261414, 0.6419705748558044]","[0.9439255595207214, 0.6179355978965759]"
175.5027791940175,151.98689961205127,132.6,161.44,"[0.873285174369812, 0.6217783689498901]","[0.9724398255348206, 0.6135136485099792]"
178.70138799804423,151.92020469588147,106.06,165.76,"[0.88634192943573, 0.6015830039978027]","[0.9926585555076599, 0.6116082668304443]"
178.82134271188804,159.94531532192127,83.35,166.07,"[0.9071478843688965, 0.5849940180778503]","[1.0007469654083252, 0.6218576431274414]"
169.1563307953871,166.82346175867917,99.54,172.23,"[0.9515267014503479, 0.6004502177238464]","[1.0018986463546753, 0.6374765038490295]"
167.8126379028511,178.76455620013996,107.01,143.29,"[0.9732630252838135, 0.6051634550094604]","[0.9642027616500854, 0.5905497670173645]"
